Ticker,"Company Name","Annual Div","Div Yield"
HCFT,"Hunt Companies Finance Trust","0.28","8.2"
HBAN,"Huntington Bancshares","0.56","4.2"
HUN,Huntsman,"0.65","2.7"
IEP,"Icahn Enterprises LP","8.00","11.0"
IDA,IdaCorp,"2.52","2.6"
ITW,"Illinois Tool Works","4.00","2.6"
IRT,"Independence Realty Trust","0.72","6.7"
IBCP,"Independent Bank(MI)","0.72","3.3"
ILPT,"Industrial Logistics Properties Trust","1.32","6.5"
HIFR,InfraREIT,"1.00","4.7"
IMKTA,"Ingles Markets ","0.66","2.5"
INGR,Ingredion,"2.50","2.7"
IPHS,"Innophos Holdings","1.92","6.1"
IBM,"International Business Machines","6.28","4.4"
IGT,"International Game Technology PLC","0.80","5.8"
IP,"International Paper Co","2.00","4.2"
IVZ,Invesco,"1.20","5.9"
IVR,"Invesco Mortgage Capital","1.80","11.3"
ISBC,"Investors Bancorp","0.44","3.6"
IRM,"Iron Mountain","2.44","6.8"
STAR,"istar Inc","0.36","4.2"
ITUB,"Itau Unibanco Holding SA ","0.53","6.0"
ITRN,"Ituran Location and Control (US)","0.96","2.7"
SJM,"J M Smucker Co","3.40","2.9"
JRVR,"James River Group Holdings Ltd","1.20","3.2"
JHG,"Janus Henderson Group PLC","1.44","5.7"
JEF,"Jefferies Financial Group","0.50","2.5"
JCAP,"Jernigan Capital","1.40","6.7"
"JW.A","John Wiley & Sons","1.32","3.0"
JNJ,"Johnson & Johnson","3.60","2.7"
JCI,"Johnson Controls International PLC","1.04","2.9"
JPM,"JPMorgan Chase & Co.","3.20","3.0"
JNPR,"Juniper Networks","0.76","2.8"
K,"Kellogg Company","2.24","4.0"
KW,"Kennedy-Wilson Holdings","0.84","3.8"
KEQU,"Kewaunee Scientific","0.76","3.6"
KEY,KeyCorp,"0.68","4.1"
KRP,"Kimbell Royalty Partners LP","1.60","9.1"
KMB,"Kimberly Clark Corp","4.12","3.4"
KIM,"Kimco Realty Corp","1.12","6.2"
KMI,"Kinder Morgan","0.80","4.0"
KINS,"Kingstone Companies","0.40","3.0"
KRG,"Kite Realty Group Trust","1.27","7.9"
KREF,"KKR Real Estate Finance Trust","1.72","8.5"
KLAC,"KLA-Tencor Corp","3.00","2.4"
KNL,Knoll,"0.60","3.1"
KNOP,"KNOT Offshore Partners LP","2.08","11.0"
KHC,"Kraft Heinz Co","1.60","4.9"
KRO,"Kronos Worldwide","0.72","5.0"
LB,"L Brands","1.20","4.3"
LADR,"Ladder Capital Corp","1.36","8.1"
LBAI,"Lakeland Bancorp","0.46","3.0"
LAMR,"Lamar Advertising Co","3.84","4.8"
LMRK,"Landmark Infrastructure Partners LP","1.47","9.5"
LVS,"Las Vegas Sands","3.08","4.7"
LAZ,"Lazard Ltd","1.76","4.6"
LCNB,LCNB,"0.68","4.1"
LTXB,"LegacyTexas Financial Group","1.00","2.5"
LM,"Legg Mason","1.36","4.7"
LEG,"Leggett & Platt","1.52","3.5"
LXP,"Lexington Realty Trust","0.41","4.4"
LPT,"Liberty Property Trust","1.64","3.3"
LSI,"Life Storage","4.00","4.1"
LMT,"Lockheed Martin","8.80","2.9"
LKSD,"LSC Communications","1.04","15.3"
LYTS,"LSI Industries","0.20","6.9"
LTC,"LTC Properties","2.28","5.0"
LYB,"LyondellBasell Industries NV","4.00","4.3"
MTB,"M&T Bank","4.00","2.5"
MDC,"M.D.C. Holdings","1.11","3.7"
MCBC,"Macatawa Bank","0.28","2.7"
MFNC,"Mackinac Financial","0.48","3.0"
